clues,difficulty,puzzle_count,share_within_clue_count
27,5.30000000,18,0.00029398
27,5.40000000,10,0.00016332
27,5.50000000,11,0.00017966
27,5.60000000,7,0.00011433
27,5.70000000,7,0.00011433
27,5.80000000,9,0.00014699
27,5.90000000,5,0.00008166
27,6.00000000,1,0.00001633
27,6.10000000,4,0.00006533
27,6.20000000,2,0.00003266
27,6.40000000,2,0.00003266
28,0.00000000,1608,0.27134661
28,1.00000000,225,0.03796828
28,1.10000000,132,0.02227472
28,1.20000000,179,0.03020587
28,1.30000000,187,0.03155586
28,1.40000000,207,0.03493081
28,1.50000000,223,0.03763078
28,1.60000000,198,0.03341208
28,1.70000000,212,0.03577455
28,1.80000000,184,0.03104961
28,1.90000000,180,0.03037462
28,2.00000000,180,0.03037462
28,2.10000000,173,0.02919339
28,2.20000000,209,0.03526831
28,2.30000000,170,0.02868714
28,2.40000000,183,0.03088086
28,2.50000000,177,0.02986838
28,2.60000000,131,0.02210597
28,2.70000000,137,0.02311846
28,2.80000000,113,0.01906851
28,2.90000000,102,0.01721228
28,3.00000000,94,0.01586230
28,3.10000000,108,0.01822477
28,3.20000000,87,0.01468107
28,3.30000000,79,0.01333108
28,3.40000000,76,0.01282484
28,3.50000000,60,0.01012487
28,3.60000000,52,0.00877489
28,3.70000000,54,0.00911239
28,3.80000000,43,0.00725616
28,3.90000000,31,0.00523118
28,4.00000000,21,0.00354371
28,4.10000000,23,0.00388120
28,4.20000000,20,0.00337496
28,4.30000000,12,0.00202497
28,4.40000000,9,0.00151873
28,4.50000000,11,0.00185623
28,4.60000000,4,0.00067499
28,4.70000000,7,0.00118124
28,4.80000000,6,0.00101249
28,4.90000000,5,0.00084374
28,5.00000000,4,0.00067499
28,5.10000000,1,0.00016875
28,5.20000000,3,0.00050624
28,5.30000000,2,0.00033750
28,5.40000000,1,0.00016875
28,5.50000000,1,0.00016875
28,5.60000000,1,0.00016875
28,5.70000000,1,0.00016875
29,0.00000000,54,0.18181818
29,1.00000000,9,0.03030303
29,1.10000000,5,0.01683502
29,1.20000000,7,0.02356902
29,1.30000000,12,0.04040404
29,1.40000000,15,0.05050505
29,1.50000000,11,0.03703704
29,1.60000000,11,0.03703704
29,1.70000000,9,0.03030303
29,1.80000000,13,0.04377104
29,1.90000000,12,0.04040404
29,2.00000000,6,0.02020202
29,2.10000000,10,0.03367003
29,2.20000000,5,0.01683502
29,2.30000000,11,0.03703704
29,2.40000000,12,0.04040404
